Title,Authors,Category,Link
Analysis of kinetic Langevin Monte Carlo under the stochastic exponential Euler discretization from underdamped all the way to overdamped,Kyurae Kim; Samuel Gruffaz; Ji Won Park; Alain Oliviero Durmus,stat.CO,https://arxiv.org/abs/2510.03949
On the Empirical Power of Goodness-of-Fit Tests in Watermark Detection,Weiqing He; Xiang Li; Tianqi Shang; Li Shen; Weijie Su; Qi Long,N/A,https://arxiv.org/abs/2510.03944
LLM Chemistry Estimation for Multi-LLM Recommendation,Huascar Sanchez; Briland Hitaj,N/A,https://arxiv.org/abs/2510.03930
Self-Speculative Masked Diffusions,Andrew Campbell; Valentin De Bortoli; Jiaxin Shi; Arnaud Doucet,N/A,https://arxiv.org/abs/2510.03929
On the Convergence and Size Transferability of Continuous-depth Graph Neural Networks,Mingsong Yan; Charles Kulick; Sui Tang,N/A,https://arxiv.org/abs/2510.03923
Transductive and Learning-Augmented Online Regression,Vinod Raman; Shenghao Xie; Samson Zhou,N/A,https://arxiv.org/abs/2510.03917
Generalized Fitted Q-Iteration with Clustered Data,Liyuan Hu; Jitao Wang; Zhenke Wu; Chengchun Shi,N/A,https://arxiv.org/abs/2510.03912
THEMIS: Unlocking Pretrained Knowledge with Foundation Model Embeddings for Anomaly Detection in Time Series,Yadav Mahesh Lorik; Kaushik Sarveswaran; Nagaraj Sundaramahalingam; Aravindakumar Venugopalan,N/A,https://arxiv.org/abs/2510.03911
LLM as an Algorithmist: Enhancing Anomaly Detectors via Programmatic Synthesis,Hangting Ye; Jinmeng Li; He Zhao; Mingchen Zhuge; Dandan Guo; Yi Chang; Hongyuan Zha,N/A,https://arxiv.org/abs/2510.03904
Optimal Computation from Fluctuation Responses,Jinghao Lyu; Kyle J. Ray; James P. Crutchfield,cond-mat.stat-mech,https://arxiv.org/abs/2510.03900
Fair Minimum Labeling: Efficient Temporal Network Activations for Reachability and Equity,Lutz Oettershagen; Othon Michail,cs.SI,https://arxiv.org/abs/2510.03899
BONSAI: Structure-exploiting robust Bayesian optimization for networked black-box systems under uncertainty,Akshay Kudva; Joel A. Paulson,N/A,https://arxiv.org/abs/2510.03893
Toward Co-adapting Machine Learning Job Shape and Cluster Topology,Shawn Shuoshuo Chen; Daiyaan Arfeen; Minlan Yu; Peter Steenkiste; Srinivasan Seshan,cs.DC,https://arxiv.org/abs/2510.03891
Rethinking Services in the Quantum Age: The SOQ Paradigm,Jose Garcia-Alonso; Enrique Moguel; Jaime Alvarado-Valiente; Javier Romero-Alvarez; Álvaro M. Aparicio-Morales; Juan M. Murillo; Francisco Javier Cavero; Adrián Romero-Flores; Alfonso E. Marquez-Chamorro; José Antonio Parejo; Antonio Ruiz-Cortés; Giuseppe Bisicchia; Alessandro Bocci; Antonio Brogi,cs.SE,https://arxiv.org/abs/2510.03890
Optimal Scaling Needs Optimal Norm,Oleg Filatov; Jiangtao Wang; Jan Ebert; Stefan Kesselheim,N/A,https://arxiv.org/abs/2510.03871
On Provable Benefits of Muon in Federated Learning,Xinwen Zhang; Hongchang Gao,N/A,https://arxiv.org/abs/2510.03866
Unlocking Reasoning Capabilities in LLMs via Reinforcement Learning Exploration,Wenhao Deng; Long Wei; Chenglei Yu; Tailin Wu,N/A,https://arxiv.org/abs/2510.03865
Adaptive and Explainable AI Agents for Anomaly Detection in Critical IoT Infrastructure using LLM-Enhanced Contextual Reasoning,Raghav Sharma; Manan Mehta,cs.AI,https://arxiv.org/abs/2510.03859
Small Language Models for Agentic Systems: A Survey of Architectures; Capabilities; and Deployment Trade offs,Raghav Sharma; Manan Mehta,cs.AI,https://arxiv.org/abs/2510.03847
The Hidden Game Problem,Gon Buzaglo; Noah Golowich; Elad Hazan,cs.AI,https://arxiv.org/abs/2510.03845
On Using Large Language Models to Enhance Clinically-Driven Missing Data Recovery Algorithms in Electronic Health Records,Sarah C. Lotspeich; Abbey Collins; Brian J. Wells; Ashish K. Khanna; Joseph Rigdon; Lucy D'Agostino McGowan,N/A,https://arxiv.org/abs/2510.03844
Smart Paste: Automatically Fixing Copy/Paste for Google Developers,Vincent Nguyen; Guilherme Herzog; José Cambronero; Marcus Revaj; Aditya Kini; Alexander Frömmgen; Maxim Tabachnyk,cs.SE,https://arxiv.org/abs/2510.03843
Technical note on Sequential Test-Time Adaptation via Martingale-Driven Fisher Prompting,Behraj Khan; Tahir Qasim Syed,N/A,https://arxiv.org/abs/2510.03839
Technical note on Fisher Information for Robust Federated Cross-Validation,Behraj Khan; Tahir Qasim Syed,N/A,https://arxiv.org/abs/2510.03838
Pilot Contamination Attacks Detection with Machine Learning for Multi-User Massive MIMO,Pedro Ivo da Cruz; Dimitri Silva; Tito Spadini; Ricardo Suyama; Murilo Bellezoni Loiola,cs.CR,https://arxiv.org/abs/2510.03831
HOFLON: Hybrid Offline Learning and Online Optimization for Process Start-Up and Grade-Transition Control,Alex Durkin; Jasper Stolte; Mehmet Mercangöz,N/A,https://arxiv.org/abs/2510.03830
Proximal Diffusion Neural Sampler,Wei Guo; Jaemoo Choi; Yuchen Zhu; Molei Tao; Yongxin Chen,N/A,https://arxiv.org/abs/2510.03824
Distributed Area Coverage with High Altitude Balloons Using Multi-Agent Reinforcement Learning,Adam Haroon; Tristan Schuler,N/A,https://arxiv.org/abs/2510.03823
TROLL: Trust Regions improve Reinforcement Learning for Large Language Models,Philipp Becker; Niklas Freymuth; Serge Thilges; Fabian Otto; Gerhard Neumann,N/A,https://arxiv.org/abs/2510.03817
A Trustworthy Industrial Fault Diagnosis Architecture Integrating Probabilistic Models and Large Language Models,Yue wu,eess.SY,https://arxiv.org/abs/2510.03815
Detecting Invariant Manifolds in ReLU-Based RNNs,Lukas Eisenmann; Alena Brändle; Zahra Monfared; Daniel Durstewitz,N/A,https://arxiv.org/abs/2510.03814
Diverse Text-to-Image Generation via Contrastive Noise Optimization,Byungjun Kim; Soobin Um; Jong Chul Ye,cs.GR,https://arxiv.org/abs/2510.03813
Curriculum-Augmented GFlowNets For mRNA Sequence Generation,Aya Laajil; Abduragim Shtanchaev; Sajan Muhammad; Eric Moulines; Salem Lahlou,N/A,https://arxiv.org/abs/2510.03811
Cellular Learning: Scattered Data Regression in High Dimensions via Voronoi Cells,Shankar Prasad Sastry,cs.CG,https://arxiv.org/abs/2510.03810
Spectral Thresholds for Identifiability and Stability:Finite-Sample Phase Transitions in High-Dimensional Learning,William Hao-Cheng Huang,N/A,https://arxiv.org/abs/2510.03809
6G-Enabled Digital Twin Framework for Real-Time Cyber-Physical Systems: An Experimental Validation with Industrial Bearing Fault Detection,Vaskar Chakma; Wooyeol Choi,cs.NI,https://arxiv.org/abs/2510.03807
Mechanistic Interpretability of Socio-Political Frames in Language Models,Hadi Asghari; Sami Nenno,cs.CL,https://arxiv.org/abs/2510.03799
Robust Batched Bandits,Yunwen Guo; Yunlun Shu; Gongyi Zhuo; Tianyu Wang,N/A,https://arxiv.org/abs/2510.03798
Road Damage and Manhole Detection using Deep Learning for Smart Cities: A Polygonal Annotation Approach,Rasel Hossen; Diptajoy Mistry; Mushiur Rahman; Waki As Sami Atikur Rahman Hridoy; Sajib Saha; Muhammad Ibrahim,cs.CV,https://arxiv.org/abs/2510.03797
Allocation of Parameters in Transformers,Ruoxi Yu; Haotian Jiang; Jingpu Cheng; Penghao Yu; Qianxiao Li; Zhong Li,N/A,https://arxiv.org/abs/2510.03784
Merge and Guide: Unifying Model Merging and Guided Decoding for Controllable Multi-Objective Generation,Guofu Xie; Chen Zhang; Xiao Zhang; Yunsheng Shi; Ting Yao; Jun Xu,N/A,https://arxiv.org/abs/2510.03782
A Benchmark Study of Deep Learning Methods for Multi-Label Pediatric Electrocardiogram-Based Cardiovascular Disease Classification,Yiqiao Chen,eess.SP,https://arxiv.org/abs/2510.03780
GuidedSampling: Steering LLMs Towards Diverse Candidate Solutions at Inference-Time,Divij Handa; Mihir Parmar; Aswin RRV; Md Nayem Uddin; Hamid Palangi; Chitta Baral,cs.AI,https://arxiv.org/abs/2510.03777
Trajectory prediction for heterogeneous agents: A performance analysis on small and imbalanced datasets,Tiago Rodrigues de Almeida; Yufei Zhu; Andrey Rudenko; Tomasz P. Kucner; Johannes A. Stork; Martin Magnusson; Achim J. Lilienthal,cs.RO,https://arxiv.org/abs/2510.03776
EvoEngineer: Mastering Automated CUDA Kernel Code Evolution with Large Language Models,Ping Guo; Chenyu Zhu; Siyuan Chen; Fei Liu; Xi Lin; Zhichao Lu; Qingfu Zhang,N/A,https://arxiv.org/abs/2510.03760
TreePrompt: Leveraging Hierarchical Few-Shot Example Selection for Improved English-Persian and English-German Translation,Ramtin Kakavand; Ebrahim Ansari,cs.CL,https://arxiv.org/abs/2510.03748
Neural Low-Discrepancy Sequences,Michael Etienne Van Huffel; Nathan Kirk; Makram Chahine; Daniela Rus; T. Konstantin Rusch,N/A,https://arxiv.org/abs/2510.03745
HydroFusion-LMF: Semi-Supervised Multi-Network Fusion with Large-Model Adaptation for Long-Term Daily Runoff Forecasting,Qianfei Fan; Jiayu Wei; Peijun Zhu; Wensheng Ye; Meie Fang,N/A,https://arxiv.org/abs/2510.03744
Revisiting Gaussian Process Reconstruction for Cosmological Inference: The Generalised GP (Gen GP) Framework,Ruchika; Purba Mukherjee; Arianna Favale,astro-ph.CO,https://arxiv.org/abs/2510.03742
Cost Efficient Fairness Audit Under Partial Feedback,Nirjhar Das; Mohit Sharma; Praharsh Nanavati; Kirankumar Shiragur; Amit Deshpande,N/A,https://arxiv.org/abs/2510.03734
Optimizing Fine-Tuning through Advanced Initialization Strategies for Low-Rank Adaptation,Yongfu Xue,N/A,https://arxiv.org/abs/2510.03731
Statistical Crime Linkage: Evaluating approaches within the Covenant for Using AI in Policing,Nathan A. Judd; Amy V. Tansell; Benjamin Costello; Liam Leonard; Jessica Woodhams; Rowland G. Seymour,stat.AP,https://arxiv.org/abs/2510.03730
Lightweight and Generalizable Acoustic Scene Representations via Contrastive Fine-Tuning and Distillation,Kuang Yuan; Yang Gao; Xilin Li; Xinhao Mei; Syavosh Zadissa; Tarun Pruthi; Saeed Bagheri Sereshki,cs.SD,https://arxiv.org/abs/2510.03728
Bridging the Gap Between Multimodal Foundation Models and World Models,Xuehai He,cs.AI,https://arxiv.org/abs/2510.03727
Personalized federated prototype learning in mixed heterogeneous data scenarios,Jiahao Zeng; Wolong Xing; Liangtao Shi; Xin Huang; Jialin Wang; Zhile Cao; Zhenkui Shi,N/A,https://arxiv.org/abs/2510.03726
Mapping Rio de Janeiro's favelas: general-purpose vs. satellite-specific neural networks,Thomas Hallopeau; Joris Guérin; Laurent Demagistri; Youssef Fouzai; Renata Gracie; Vanderlei Pascoal De Matos; Helen Gurgel; Nadine Dessay,cs.CV,https://arxiv.org/abs/2510.03725
Balancing Interpretability and Performance in Reinforcement Learning: An Adaptive Spectral Based Linear Approach,Qianxin Yi; Shao-Bo Lin; Jun Fan; Yao Wang,N/A,https://arxiv.org/abs/2510.03722
Person-Centric Annotations of LAION-400M: Auditing Bias and Its Transfer to Models,Leander Girrbach; Stephan Alaniz; Genevieve Smith; Trevor Darrell; Zeynep Akata,cs.CV,https://arxiv.org/abs/2510.03721
EmbodiSwap for Zero-Shot Robot Imitation Learning,Eadom Dessalene; Pavan Mantripragada; Michael Maynord; Yiannis Aloimonos,cs.RO,https://arxiv.org/abs/2510.03706
Dissecting Larval Zebrafish Hunting using Deep Reinforcement Learning Trained RNN Agents,Raaghav Malik; Satpreet H. Singh; Sonja Johnson-Yu; Nathan Wu; Roy Harpaz; Florian Engert; Kanaka Rajan,q-bio.NC,https://arxiv.org/abs/2510.03699
REG: A Regularization Optimizer for Robust Training Dynamics,Zehua Liu; Han Wu; Xiaojin Fu; Shuqi Liu; Xiongwei Han; Tao Zhong; Mingxuan Yuan,N/A,https://arxiv.org/abs/2510.03691
From Moments to Models: Graphon Mixture-Aware Mixup and Contrastive Learning,Ali Azizpour; Reza Ramezanpour; Ashutosh Sabharwal; Santiago Segarra,N/A,https://arxiv.org/abs/2510.03690
The analogy theorem in Hoare logic,Nikitin Nikita,N/A,https://arxiv.org/abs/2510.03685
Group Policy Gradient,Junhua Chen; Zixi Zhang; Hantao Zhong; Rika Antonova,N/A,https://arxiv.org/abs/2510.03679
Towards Sampling Data Structures for Tensor Products in Turnstile Streams,Zhao Song; Shenghao Xie; Samson Zhou,N/A,https://arxiv.org/abs/2510.03678
Token Hidden Reward: Steering Exploration-Exploitation in Group Relative Deep Reinforcement Learning,Wenlong Deng; Yi Ren; Yushu Li; Boying Gong; Danica J. Sutherland; Xiaoxiao Li; Christos Thrampoulidis,N/A,https://arxiv.org/abs/2510.03669
Invisible Saboteurs: Sycophantic LLMs Mislead Novices in Problem-Solving Tasks,Jessica Y. Bo; Majeed Kazemitabaar; Mengqing Deng; Michael Inzlicht; Ashton Anderson,cs.HC,https://arxiv.org/abs/2510.03667
Operationalizing Data Minimization for Privacy-Preserving LLM Prompting,Jijie Zhou; Niloofar Mireshghallah; Tianshi Li,N/A,https://arxiv.org/abs/2510.03662
Does higher interpretability imply better utility? A Pairwise Analysis on Sparse Autoencoders,Xu Wang; Yan Hu; Benyou Wang; Difan Zou,N/A,https://arxiv.org/abs/2510.03659
Optimising Battery Energy Storage System Trading via Energy Market Operator Price Forecast,Aymeric Fabre,N/A,https://arxiv.org/abs/2510.03657
LLM-Guided Evolutionary Program Synthesis for Quasi-Monte Carlo Design,Amir Sadikov,N/A,https://arxiv.org/abs/2510.03650
SAFA-SNN: Sparsity-Aware On-Device Few-Shot Class-Incremental Learning with Fast-Adaptive Structure of Spiking Neural Network,Huijing Zhang; Muyang Cao; Linshan Jiang; Xin Du; Di Yu; Changze Lv; Shuiguang Deng,N/A,https://arxiv.org/abs/2510.03648
In-Vivo Training for Deep Brain Stimulation,Nicholas Carter; Arkaprava Gupta; Prateek Ganguli; Benedikt Dietrich; Vibhor Krishna; Samarjit Chakraborty,N/A,https://arxiv.org/abs/2510.03643
Implicit Models: Expressive Power Scales with Test-Time Compute,Jialin Liu; Lisang Ding; Stanley Osher; Wotao Yin,N/A,https://arxiv.org/abs/2510.03638
From Theory to Practice: Evaluating Data Poisoning Attacks and Defenses in In-Context Learning on Social Media Health Discourse,Rabeya Amin Jhuma; Mostafa Mohaimen Akand Faisal,N/A,https://arxiv.org/abs/2510.03636
Handling Missing Data in Probabilistic Regression Trees: Methods and Implementation in R,Taiane Schaedler Prass; Alisson Silva Neimaier; Guilherme Pumi,stat.ME,https://arxiv.org/abs/2510.03634
Predicting Stock Price Movement with LLM-Enhanced Tweet Emotion Analysis,An Vuong; Susan Gauch,N/A,https://arxiv.org/abs/2510.03633
Transformed $\ell_1$ Regularizations for Robust Principal Component Analysis: Toward a Fine-Grained Understanding,Kun Zhao; Haoke Zhang; Jiayi Wang; Yifei Lou,N/A,https://arxiv.org/abs/2510.03624
Explainable but Vulnerable: Adversarial Attacks on XAI Explanation in Cybersecurity Applications,Maraz Mia; Mir Mehedi A. Pritom,cs.CR,https://arxiv.org/abs/2510.03623
Neural Bayesian Filtering,Christopher Solinas; Radovan Haluska; David Sychrovsky; Finbarr Timbers; Nolan Bard; Michael Buro; Martin Schmid; Nathan R. Sturtevant; Michael Bowling,N/A,https://arxiv.org/abs/2510.03614
Explore the Loss space with Hill-ADAM,Meenakshi Manikandan; Leilani Gilpin,N/A,https://arxiv.org/abs/2510.03613
Can an LLM Induce a Graph? Investigating Memory Drift and Context Length,Raquib Bin Yousuf; Aadyant Khatri; Shengzhe Xu; Mandar Sharma; Naren Ramakrishnan,cs.CL,https://arxiv.org/abs/2510.03611
Unsupervised Transformer Pre-Training for Images: Self-Distillation; Mean Teachers; and Random Crops,Mattia Scardecchia,cs.CV,https://arxiv.org/abs/2510.03606
Understanding the Role of Training Data in Test-Time Scaling,Adel Javanmard; Baharan Mirzasoleiman; Vahab Mirrokni,cs.AI,https://arxiv.org/abs/2510.03605
Deep Domain Adaptation for Turbofan Engine Remaining Useful Life Prediction: Methodologies; Evaluation and Future Trends,Yucheng Wang; Mohamed Ragab; Yubo Hou; Zhenghua Chen; Min Wu; Xiaoli Li,N/A,https://arxiv.org/abs/2510.03604
MECKD: Deep Learning-Based Fall Detection in Multilayer Mobile Edge Computing With Knowledge Distillation,Wei-Lung Mao; Chun-Chi Wang; Po-Heng Chou; Kai-Chun Liu; Yu Tsao,N/A,https://arxiv.org/abs/2510.03601
Exploring the Hierarchical Reasoning Model for Small Natural-Image Classification Without Augmentation,Alexander V. Mantzaris,cs.CV,https://arxiv.org/abs/2510.03598
Neon: Negative Extrapolation From Self-Training Improves Image Generation,Sina Alemohammad; Zhangyang Wang; Richard G. Baraniuk,cs.GR,https://arxiv.org/abs/2510.03597
Deep Reinforcement Learning for Multi-Agent Coordination,Kehinde O. Aina; Sehoon Ha,N/A,https://arxiv.org/abs/2510.03592
FieldFormer: Physics-Informed Transformers for Spatio-Temporal Field Reconstruction from Sparse Sensors,Ankit Bhardwaj; Ananth Balashankar; Lakshminarayanan Subramanian,N/A,https://arxiv.org/abs/2510.03589
Exact and Approximate MCMC for Doubly-intractable Probabilistic Graphical Models Leveraging the Underlying Independence Model,Yujie Chen; Antik Chakraborty; Anindya Bhadra,stat.CO,https://arxiv.org/abs/2510.03587
Latent Mixture of Symmetries for Sample-Efficient Dynamic Learning,Haoran Li; Chenhan Xiao; Muhao Guo; Yang Weng,N/A,https://arxiv.org/abs/2510.03578
BEKAN: Boundary condition-guaranteed evolutionary Kolmogorov-Arnold networks with radial basis functions for solving PDE problems,Bongseok Kim; Jiahao Zhang; Guang Lin,N/A,https://arxiv.org/abs/2510.03576
Efficient Test-Time Scaling for Small Vision-Language Models,Mehmet Onurcan Kaya; Desmond Elliott; Dim P. Papadopoulos,N/A,https://arxiv.org/abs/2510.03574
Generalization of Graph Neural Network Models for Distribution Grid Fault Detection,Burak Karabulut; Carlo Manna; Chris Develder,N/A,https://arxiv.org/abs/2510.03571
Longitudinal Flow Matching for Trajectory Modeling,Mohammad Mohaiminul Islam; Thijs P. Kuipers; Sharvaree Vadgama; Coen de Vente; Afsana Khan; Clara I. Sánchez; Erik J. Bekkers,N/A,https://arxiv.org/abs/2510.03569
Machine Unlearning Meets Adversarial Robustness via Constrained Interventions on LLMs,Fatmazohra Rezkellah; Ramzi Dakhmouche,N/A,https://arxiv.org/abs/2510.03567
CrossLag: Predicting Major Dengue Outbreaks with a Domain Knowledge Informed Transformer,Ashwin Prabu; Nhat Thanh Tran; Guofa Zhou; Jack Xin,N/A,https://arxiv.org/abs/2510.03566
CryptOracle: A Modular Framework to Characterize Fully Homomorphic Encryption,Cory Brynds; Parker McLeod; Lauren Caccamise; Asmita Pal; Dewan Saiham; Sazadur Rahman; Joshua San Miguel; Di Wu,cs.CR,https://arxiv.org/abs/2510.03565
Reactive Transformer (RxT) -- Stateful Real-Time Processing for Event-Driven Reactive Language Models,Adam Filipek,cs.CL,https://arxiv.org/abs/2510.03561
Sequential decoder training for improved latent space dynamics identification,William Anderson; Seung Whan Chung; Youngsoo Choi,N/A,https://arxiv.org/abs/2510.03535
Long-Term Mapping of the Douro River Plume with Multi-Agent Reinforcement Learning,Nicolò Dal Fabbro; Milad Mesbahi; Renato Mendes; João Borges de Sousa; George J. Pappas,cs.MA,https://arxiv.org/abs/2510.03534
Certifiable Safe RLHF: Fixed-Penalty Constraint Optimization for Safer Language Models,Kartik Pandit; Sourav Ganguly; Arnesh Banerjee; Shaahin Angizi; Arnob Ghosh,N/A,https://arxiv.org/abs/2510.03520
RAPID: An Efficient Reinforcement Learning Algorithm for Small Language Models,Lianghuan Huang; Sagnik Anupam; Insup Lee; Shuo Li; Osbert Bastani,N/A,https://arxiv.org/abs/2510.03515
A Lightweight Federated Learning Approach for Privacy-Preserving Botnet Detection in IoT,Taha M. Mahmoud; Naima Kaabouch,N/A,https://arxiv.org/abs/2510.03513
Comparison of Parametric versus Machine-learning Multiple Imputation in Clinical Trials with Missing Continuous Outcomes,Mia S. Tackney; Jonathan W. Bartlett; Elizabeth Williamson; Kim May Lee,stat.ME,https://arxiv.org/abs/2510.03512
Platonic Transformers: A Solid Choice For Equivariance,Mohammad Mohaiminul Islam; Rishabh Anand; David R. Wessels; Friso de Kruiff; Thijs P. Kuipers; Rex Ying; Clara I. Sánchez; Sharvaree Vadgama; Georg Bökman; Erik J. Bekkers,cs.CV,https://arxiv.org/abs/2510.03511
Task-Level Contrastiveness for Cross-Domain Few-Shot Learning,Kristi Topollai; Anna Choromanska,N/A,https://arxiv.org/abs/2510.03509
D2 Actor Critic: Diffusion Actor Meets Distributional Critic,Lunjun Zhang; Shuo Han; Hanrui Lyu; Bradly C Stadie,N/A,https://arxiv.org/abs/2510.03508
Composite Optimization with Error Feedback: the Dual Averaging Approach,Yuan Gao; Anton Rodomanov; Jeremy Rack; Sebastian Stich,math.OC,https://arxiv.org/abs/2510.03507
ALHD: A Large-Scale and Multigenre Benchmark Dataset for Arabic LLM-Generated Text Detection,Ali Khairallah; Arkaitz Zubiaga,cs.CL,https://arxiv.org/abs/2510.03502
Machine Learning-Driven Prediction of Lithium-Ion Battery Power Capability for eVTOL Aircraft,Hao Tu; Yebin Wang; Shaoshuai Mou; Huazhen Fang,eess.SY,https://arxiv.org/abs/2510.03497
Trajectory Data Suffices for Statistically Efficient Policy Evaluation in Finite-Horizon Offline RL with Linear $q^π$-Realizability and Concentrability,Volodymyr Tkachuk; Csaba Szepesvári; Xiaoqi Tan,N/A,https://arxiv.org/abs/2510.03494
Reasoning-based Anomaly Detection Framework: A Real-time; Scalable; and Automated Approach to Anomaly Detection Across Domains,Anupam Panwar; Himadri Pal; Jiali Chen; Kyle Cho; Riddick Jiang; Miao Zhao; Rajiv Krishnamurthy,N/A,https://arxiv.org/abs/2510.03486
Active learning and explicit electrostatics enable accurate modeling of electrolytes,Olga Chalykh; Mikhail Polovinkin; Dmitry Korogod; Nikita Rybin; Alexander Shapeev,physics.chem-ph,https://arxiv.org/abs/2510.03479
How to Set $β_1; β_2$ in Adam: An Online Learning Perspective,Quan Nguyen,N/A,https://arxiv.org/abs/2510.03478
Relative Code Comprehensibility Prediction,Nadeeshan De Silva; Martin Kellogg; Oscar Chaparro,cs.SE,https://arxiv.org/abs/2510.03474
Vision-Based CNN Prediction of Sunspot Numbers from SDO/HMI Images,Fabian C. Quintero-Pareja; Diederik A. Montano-Burbano; Santiago Quintero-Pareja; D. Sierra-Porta,astro-ph.SR,https://arxiv.org/abs/2510.03473
On residual network depth,Benoit Dherin; Michael Munn,N/A,https://arxiv.org/abs/2510.03470
Optimal Regularization Under Uncertainty: Distributional Robustness and Convexity Constraints,Oscar Leong; Eliza O'Reilly; Yong Sheng Soh,math.OC,https://arxiv.org/abs/2510.03464
The Argument is the Explanation: Structured Argumentation for Trust in Agents,Ege Cakar; Per Ola Kristensson,N/A,https://arxiv.org/abs/2510.03442
Spatial-ViLT: Enhancing Visual Spatial Reasoning through Multi-Task Learning,Chashi Mahiul Islam; Oteo Mamo; Samuel Jacob Chacko; Xiuwen Liu; Weikuan Yu,cs.CV,https://arxiv.org/abs/2510.03441
Consistent Kernel Change-Point Detection under m-Dependence for Text Segmentation,Jairo Diaz-Rodriguez; Mumin Jia,N/A,https://arxiv.org/abs/2510.03437
Paris: A Decentralized Trained Open-Weight Diffusion Model,Zhiying Jiang; Raihan Seraj; Marcos Villagra; Bidhan Roy,cs.GR,https://arxiv.org/abs/2510.03434
LHGEL: Large Heterogeneous Graph Ensemble Learning using Batch View Aggregation,Jiajun Shen; Yufei Jin; Yi He; Xingquan Zhu,N/A,https://arxiv.org/abs/2510.03432
Generalized Orders of Magnitude for Scalable; Parallel; High-Dynamic-Range Computation,Franz A. Heinsen; Leo Kozachkov,N/A,https://arxiv.org/abs/2510.03426
Memory-Efficient Backpropagation for Fine-Tuning LLMs on Resource-Constrained Mobile Devices,Congzheng Song; Xinyu Tang,N/A,https://arxiv.org/abs/2510.03425
Optimizing and benchmarking the computation of the permanent of general matrices,Cassandra Masschelein; Michelle Richer; Paul W. Ayers,quant-ph,https://arxiv.org/abs/2510.03421
Multi-task neural diffusion processes for uncertainty-quantified wind power prediction,Joseph Rawson; Domniki Ladopoulou; Petros Dellaportas,N/A,https://arxiv.org/abs/2510.03419
Training Variation of Physically-Informed Deep Learning Models,Ashley Lenau; Dennis Dimiduk; Stephen R. Niezgoda,N/A,https://arxiv.org/abs/2510.03416
Know Thyself? On the Incapability and Implications of AI Self-Recognition,Xiaoyan Bai; Aryan Shrivastava; Ari Holtzman; Chenhao Tan,cs.AI,https://arxiv.org/abs/2510.03399
Foundation models for equation discovery in high energy physics,Manuel Morales-Alvarado,hep-ph,https://arxiv.org/abs/2510.03397
Studying the Korean Word-Chain Game with RLVR:Mitigating Reward Conflicts via Curriculum Learning,Donghwan Rho,N/A,https://arxiv.org/abs/2510.03394
Quantum feature-map learning with reduced resource overhead,Jonas Jäger; Philipp Elsässer; Elham Torabian,quant-ph,https://arxiv.org/abs/2510.03389
Is it Bigger than a Breadbox: Efficient Cardinality Estimation for Real World Workloads,Zixuan Yi; Sami Abu-el-Haija; Yawen Wang; Teja Vemparala; Yannis Chronis; Yu Gan; Michael Burrows; Carsten Binnig; Bryan Perozzi; Ryan Marcus; Fatma Ozcan,cs.DB,https://arxiv.org/abs/2510.03386
Cross-Modal Reconstruction Pretraining for Ramp Flow Prediction at Highway Interchanges,Yongchao Li; Jun Chen; Zhuoxuan Li; Chao Gao; Yang Li; Chu Zhang; Changyin Dong,N/A,https://arxiv.org/abs/2510.03381
A Robust Clustered Federated Learning Approach for Non-IID Data with Quantity Skew,Michael Ben Ali; Imen Megdiche; André Peninou; Olivier Teste,N/A,https://arxiv.org/abs/2510.03380
Conditional Pseudo-Supervised Contrast for Data-Free Knowledge Distillation,Renrong Shao; Wei Zhang; Jun wang,N/A,https://arxiv.org/abs/2510.03375
Distributed Low-Communication Training with Decoupled Momentum Optimization,Sasho Nedelkoski; Alexander Acker; Odej Kao; Soeren Becker; Dominik Scheinert,N/A,https://arxiv.org/abs/2510.03371
Disentangling Recall and Reasoning in Transformer Models through Layer-wise Attention and Activation Analysis,Harshwardhan Fartale; Ashish Kattamuri; Rahul Raja; Arpita Vats; Ishita Prasad; Akshata Kishore Moharir,N/A,https://arxiv.org/abs/2510.03366
Bias and Coverage Properties of the WENDy-IRLS Algorithm,Abhi Chawla; David M. Bortz; Vanja Dukic,stat.ME,https://arxiv.org/abs/2510.03365
Diffusion-Based; Data-Assimilation-Enabled Super-Resolution of Hub-height Winds,Xiaolong Ma; Xu Dong; Ashley Tarrant; Lei Yang; Rao Kotamarthi; Jiali Wang; Feng Yan; Rajkumar Kettimuthu,N/A,https://arxiv.org/abs/2510.03364
Estimating link level traffic emissions: enhancing MOVES with open-source data,Lijiao Wang; Muhammad Usama; Haris N. Koutsopoulos; Zhengbing He,N/A,https://arxiv.org/abs/2510.03362
Provenance Networks: End-to-End Exemplar-Based Explainability,Ali Kayyam; Anusha Madan Gopal; M. Anthony Lewis,cs.CV,https://arxiv.org/abs/2510.03361
Physics-informed Neural-operator Predictive Control for Drag Reduction in Turbulent Flows,Zelin Zhao; Zongyi Li; Kimia Hassibi; Kamyar Azizzadenesheli; Junchi Yan; H. Jane Bae; Di Zhou; Anima Anandkumar,N/A,https://arxiv.org/abs/2510.03360
Understanding Transformers for Time Series: Rank Structure; Flow-of-ranks; and Compressibility,Annan Yu; Danielle C. Maddix; Boran Han; Xiyuan Zhang; Abdul Fatir Ansari; Oleksandr Shchur; Christos Faloutsos; Andrew Gordon Wilson; Michael W. Mahoney; Yuyang Wang,N/A,https://arxiv.org/abs/2510.03358
